property_id,lat,lng,addr_street,suburb,price,property_type,year,bedrooms,bathrooms,parking_space,Shopping_center_id,Distance_to_sc,Train_station_id,Distance_to_train_station,travel_min_to_CBD,Transfer_flag,Hospital_id,Distance_to_hospital,Supermarket_id,Distance_to_supermarket
20361,-37.77413,144.955707,106 Gold Street,BRUNSWICK,12800000,house,2010,2,1,1,SC_011,3.6,19969,0.281,20,0,hospital_102,1.17,S_074,0.612
42647,-37.737982,145.06192,87 Grandview Grove,ROSANNA,9010000,house,2014,3,1,2,SC_017,2.063,19936,0.66,28,0,hospital_090,1.545,S_100,2.426
25699,-37.58162689,144.9388123,18 Liverpool Circuit,CRAIGIEBURN,4680000,house,2008,4,2,2,SC_005,1.8,40221,2.282,46,0,hospital_104,7.858,S_178,1.441
18611,-37.677829,144.912395,3 CATANI COURT,BROADMEADOWS,4810000,house,2014,4,1,2,SC_059,2.68,20030,0.861,37,0,hospital_104,3.102,S_153,0.816
35689,-37.709918,145.015804,87 Crookston Road,RESERVOIR,8520000,house,2016,3,1,2,SC_047,3.434,20009,0.598,33,0,hospital_139,1.78,S_225,2.02
66052,-37.768781,145.313922,237 Manchester Road,MOOROOLBARK,3982000,house,2009,3,2,0,SC_084,1.183,19877,1.783,54,0,hospital_113,3.675,S_168,1.158
76520,-37.92694,145.125926,104 Browns Road,CLAYTON,10100000,house,2015,3,1,2,SC_073,5.752,19915,0.536,39,0,hospital_076,0.743,S_169,0.651
52059,-37.826266,145.0078,10 Farmer Street,RICHMOND,7392000,house,2011,2,1,0,SC_038,1.593,19906,0.146,13,0,hospital_122,0.787,S_102,1.568
33094,-37.737679,145.024553,68 Jensen Road,PRESTON,9639000,house,2012,4,2,2,SC_047,0.517,20012,2.118,27,0,hospital_090,2.181,S_225,1.468
6443,-37.79188919,144.842926,21 Parsons st,SUNSHINE,4450000,house,2009,3,1,0,SC_102,1.345,20021,0.959,26,0,hospital_174,1.826,S_080,1.432
60579,-37.836169,145.192997,2/453 Canterbury Road,VERMONT,13215000,house,2015,4,3,2,SC_088,2.215,19900,2.023,40,0,hospital_010,2.864,S_202,2.009
92167,-37.981057,145.08938,26 Gainsborough Road,MENTONE,11120000,house,2014,3,1,3,SC_003,1.105,19864,1.761,41,0,hospital_001,1.8,S_003,1.123
27911,-37.601298,144.930665,9 Falmer Place,CRAIGIEBURN,6375000,house,2015,4,2,2,SC_110,0.882,40221,1.118,46,0,hospital_104,5.573,S_005,0.794
54647,-37.814066,145.027402,6 Power Street,HAWTHORN,13280000,house,2011,4,2,2,SC_083,1.013,19905,0.95,19,0,hospital_086,0.664,S_208,0.966
82330,-37.997523,145.24992,60 Doveton Avenue,EUMEMMERRING,2800000,house,2014,3,1,2,SC_077,0.865,19885,2.846,59,0,hospital_119,3.046,S_212,1.597
96056,-37.903441,145.050782,6 Wild Cherry Road,ORMOND,14100000,house,2016,2,1,2,SC_041,2.192,19941,0.981,36,0,hospital_159,2.522,S_015,1.822
96777,-38.00695038,145.2814179,35 Eyebright Close,HALLAM,4320000,house,2008,3,1,2,SC_077,2.911,19885,1.576,59,0,hospital_069,3.314,S_212,1.404
51791,-37.800266,145.170487,14 Cerberus Street,DONVALE,7584000,house,2013,4,2,2,SC_002,2.129,19899,2.297,37,0,hospital_034,1.12,S_202,2.68
91755,-37.992387,145.034527,6 Stayner Street,BEAUMARIS,21420000,house,2014,2,1,0,SC_079,4.849,19865,2.932,39,0,hospital_055,2.067,S_011,2.729
55833,-37.827797,145.070638,6 Matlock Street,CAMBERWELL,13200000,house,2010,3,2,2,SC_099,1.173,19892,0.302,27,0,hospital_168,2.449,S_160,0.802
43497,-37.7113355,145.086761,15 Papua Street,WATSONIA,3848000,house,2012,3,1,2,SC_017,5.2,19984,0.265,34,0,hospital_075,1.819,S_020,1.385
75602,-37.89417,145.10578,10 Grandview Grove,OAKLEIGH,8376000,house,2014,3,1,2,SC_087,2.219,19917,1.683,34,0,hospital_166,0.567,S_026,2.033
82070,-37.994349,145.237397,3 Magnolia Grove,DOVETON,2952000,house,2015,3,2,1,SC_077,1.54,19888,2.476,54,0,hospital_119,1.915,S_184,1.999
69109,-37.860982,145.037726,36 Dixon Street,MALVERN,16110000,house,2014,3,2,1,SC_023,1.753,19944,0.945,20,0,hospital_183,0.332,S_235,0.779
3475,-37.81223,144.872694,4 Charlotte Street,YARRAVILLE,6720000,house,2015,2,1,3,SC_043,2.29,19996,1.569,16,0,hospital_056,2.435,S_149,2.289
2027,-37.7896609,144.8808683,22 Madden Street,MAIDSTONE,8970000,house,2013,3,1,3,SC_043,1.76,20023,1.408,20,0,hospital_056,0.607,S_149,1.76
86675,-37.914871,144.990829,38 Sussex Street,BRIGHTON,32890000,house,2012,4,2,3,SC_046,4.992,19951,0.481,22,0,hospital_156,0.351,S_150,0.31
31020,-37.756977,144.986504,25 Newman Street,THORNBURY,3465000,house,2011,3,1,0,SC_103,2.366,20014,1.083,23,0,hospital_144,1.295,S_105,1.645
7054,-37.783963,144.816456,82A Forrest Street,ALBION,6604000,house,2016,3,2,1,SC_102,1.517,20004,1.01,28,0,hospital_174,1.577,S_080,1.487
19490,-37.659898,144.927728,75 Almurta Avenue,COOLAROO,6248000,house,2013,3,1,3,SC_072,1.128,44817,0.192,40,0,hospital_104,1.21,S_153,2.095
10117,-37.795708,144.931695,155 Eastwood Street,KENSINGTON,9061000,house,2010,2,1,0,SC_011,2.018,20041,0.238,14,0,hospital_114,0.171,S_086,1.007
16829,-37.698955,144.922265,22 Moss Court,GLENROY,8381000,house,2014,3,1,2,SC_059,3.497,20031,0.707,35,0,hospital_184,5.057,S_209,0.799
15059,-37.730105,144.920522,19 Drina Street,STRATHMORE,6200000,house,2014,4,2,1,SC_082,1.385,20034,0.679,28,0,hospital_184,1.922,S_197,1.833
89657,-37.957876,145.011636,73 Fernhill Road,SANDRINGHAM,34800000,house,2016,5,3,2,SC_079,2.761,19948,1.045,29,0,hospital_058,0.751,S_214,1.665
18481,-37.668559,144.933678,22 Morwell Crescent,DALLAS,3740000,house,2010,3,1,0,SC_072,2.224,44817,1.076,40,0,hospital_104,2.306,S_153,1.5
22468,-37.73525,144.961184,28 May Street,COBURG,6955000,house,2013,3,1,1,SC_030,1.024,19964,0.241,30,0,hospital_084,2.112,S_172,0.797
88386,-37.948953,145.032302,10 George Street,HIGHETT,14520000,house,2011,4,2,2,SC_079,0.77,19872,0.842,40,0,hospital_110,1.813,S_069,0.77
68112,-37.845144,145.008523,47 Fairbairn Road,TOORAK,13770000,house,2012,2,1,0,SC_038,0.51,19947,0.564,21,0,hospital_132,1.0,S_115,0.432
11927,-37.71925735,144.8323517,8 Eagling Street,KEILOR,11985000,house,2009,4,1,1,SC_107,2.373,20001,3.578,36,0,hospital_005,4.834,S_222,2.701
15215,-37.735412,144.919414,302 Napier Street,STRATHMORE,12630000,house,2014,3,1,2,SC_082,1.229,20034,0.931,28,0,hospital_184,1.477,S_197,1.285
64419,-37.803902,145.297425,4 Edward Court,CROYDON,9571000,house,2015,4,1,2,SC_022,1.371,19878,1.755,51,0,hospital_164,3.704,S_224,1.154
17509,-37.70843,144.915431,6 PROSPECT STREET,GLENROY,4848000,house,2010,3,1,1,SC_010,2.583,20032,0.461,33,0,hospital_184,3.879,S_209,0.802
56587,-37.844085,145.106387,31 Uganda Street,BURWOOD,6570000,house,2010,3,1,1,SC_037,3.124,19895,2.318,30,0,hospital_089,1.833,S_097,2.645
7721,-37.775124,144.802956,12 Sunhill Crescent,ARDEER,2800000,house,2011,3,1,0,SC_102,2.811,20004,1.934,28,0,hospital_057,1.92,S_159,2.183
62655,-37.826948,145.249538,2 Banksia Court,HEATHMONT,5916000,house,2011,3,2,2,SC_032,2.412,19871,0.464,46,0,hospital_105,1.849,S_139,2.347
16733,-37.704562,144.941433,2 Lockley Street,HADFIELD,3735000,house,2016,3,1,2,SC_030,3.193,19961,1.596,35,0,hospital_139,5.193,S_004,0.362
5556,-37.788259,144.856816,18 Adamson Street,BRAYBROOK,4545000,house,2015,2,1,2,SC_043,0.729,20022,1.337,22,0,hospital_174,2.44,S_149,0.729
45881,-37.715093,145.134841,174 Sherbourne Road,MONTMORENCY,6660000,house,2016,3,2,2,SC_051,5.106,19987,1.156,44,0,hospital_075,2.782,S_194,2.039
83475,-37.854384,144.991555,129 Union Street,WINDSOR,13072000,house,2010,3,1,2,SC_066,0.809,19957,0.191,11,0,hospital_063,0.603,S_115,1.397
56037,-37.846781,145.060892,946 Toorak Road,CAMBERWELL,18700000,house,2013,3,1,1,SC_099,2.51,19912,1.087,17,0,hospital_168,0.53,S_160,1.584
65737,-37.763862,145.329258,13 Eastwood Crescent,MOOROOLBARK,6015000,house,2010,3,1,2,SC_084,1.491,19876,1.871,60,0,hospital_113,2.257,S_168,1.081
70947,-37.852194,145.239719,1 Chartwell Drive,WANTIRNA,7452000,house,2015,3,1,2,SC_032,4.494,19871,2.691,46,0,hospital_179,1.114,S_226,2.355
74971,-37.88795853,145.0771484,3 Merrimu Street,MURRUMBEENA,9105000,house,2007,3,1,1,SC_087,0.394,19918,0.772,32,0,hospital_108,2.73,S_167,0.394
21237,-37.774376,144.963898,42 Edward Street,BRUNSWICK,11917000,house,2011,3,1,1,SC_008,4.204,19969,0.461,20,0,hospital_102,1.798,S_138,0.254
84627,-37.881442,144.981034,128 Ruskin Street,ELWOOD,18500000,house,2010,4,3,3,SC_015,1.42,19955,1.392,15,0,hospital_009,2.332,S_133,1.41
43950,-37.683337,145.108863,1  Miowera Green,GREENSBOROUGH,4600000,house,2014,3,2,2,SC_062,4.081,19985,2.296,38,0,hospital_075,2.44,S_210,2.269
31032,-37.759199,145.017608,260 Rossmoyne Street,THORNBURY,12000000,house,2013,2,1,1,SC_001,2.339,20014,1.738,23,0,hospital_035,0.953,S_105,1.527
74618,-37.885829,145.069954,15 Hobart Road,MURRUMBEENA,23400000,house,2014,5,3,2,SC_041,0.999,19919,0.537,30,0,hospital_108,2.234,S_048,1.052
24003,-37.699623,144.971581,14 Preston Street,FAWKNER,4500000,house,2010,2,1,0,SC_030,4.109,19961,1.125,35,0,hospital_139,3.07,S_161,1.624
93991,-38.065288,145.126303,59 Coast Banksia Drive,BONBEACH,6885000,house,2016,4,2,2,SC_070,5.562,19859,0.636,51,0,hospital_096,8.888,S_077,1.522
698,-37.809127,144.887906,25 Browning Street,SEDDON,6972000,house,2011,2,1,0,SC_043,2.891,19997,0.683,15,0,hospital_056,1.787,S_201,1.288
44523,-37.680326,145.116624,2 Indigo Close,GREENSBOROUGH,13500000,house,2013,4,2,2,SC_051,3.869,19985,2.732,38,0,hospital_075,2.919,S_051,1.772
56880,-37.844815,145.102877,71 Roslyn Street,BURWOOD,9600000,house,2014,3,1,2,SC_037,3.344,19849,2.105,34,0,hospital_089,1.599,S_112,2.537
79964,-37.994161,145.157448,24 Oakwood Drive,KEYSBOROUGH,4510000,house,2015,3,1,1,SC_057,1.403,19890,3.451,49,0,hospital_096,1.191,S_079,1.322
16018,-37.706647,144.895806,24 Seggan Circle,GOWANBRAE,5720000,house,2010,3,2,1,SC_010,1.137,20032,1.901,33,0,hospital_184,4.052,S_198,2.293
58198,-37.81340027,145.1489868,51 Stanley Grove,BLACKBURN,6750000,house,2009,3,1,1,SC_002,2.086,19898,0.748,35,0,hospital_060,2.265,S_018,2.011
94393,-37.954787,145.084162,5 Muirfield Close,HEATHERTON,8190000,house,2012,3,2,2,SC_003,1.87,19866,2.915,37,0,hospital_109,1.197,S_023,2.542
54578,-37.826275,145.036664,5 Urquhart Street,HAWTHORN,19530000,house,2012,4,3,2,SC_083,0.653,19904,0.536,20,0,hospital_127,0.226,S_208,0.71
87706,-37.932352,145.022987,4 Smith Street,HAMPTON,12600000,house,2015,4,2,2,SC_046,1.565,19937,1.228,38,0,hospital_110,1.215,S_214,1.456
77562,-37.923547,145.191594,16 Tottenham Grove,MULGRAVE,9954000,house,2013,4,2,2,SC_073,1.987,19913,4.423,44,0,hospital_161,2.526,S_067,1.414
64757,-37.804914,145.268615,61 Montana Parade,CROYDON,9282000,house,2015,5,2,2,SC_022,1.428,19878,1.491,51,0,hospital_164,1.188,S_182,1.324
41985,-37.736737,145.076319,278 Lower Plenty Road,ROSANNA,9915000,house,2016,3,1,1,SC_017,2.226,19936,1.127,28,0,hospital_066,2.426,S_100,2.591
13323,-37.715579,144.769378,6 Gorong Walk,DELAHEY,7294000,house,2013,3,2,2,SC_048,3.125,20000,1.663,39,0,hospital_057,6.385,S_094,1.596
81326,-37.99731445,145.2029724,5 Conway Street,DANDENONG,4340000,house,2009,2,1,1,SC_112,1.556,19888,1.01,54,0,hospital_119,1.952,S_184,1.645
48909,-37.808715,145.101986,10 Madang Avenue,BALWYN,16300000,house,2010,4,2,3,SC_020,2.073,19896,1.232,34,0,hospital_117,1.317,S_136,0.498
30095,-37.778569,144.993748,43 Union Street,NORTHCOTE,10200000,house,2015,3,1,1,SC_008,4.26,20017,0.105,18,0,hospital_035,2.139,S_200,2.582
22814,-37.733782,144.954704,43 Kerferd Street,COBURG,9775000,house,2011,3,1,1,SC_030,0.431,19964,0.717,30,0,hospital_084,2.285,S_172,1.276
64482,-37.784463,145.270278,41 Sevenoaks Avenue,CROYDON,8136000,house,2016,3,1,2,SC_022,1.979,19878,1.522,51,0,hospital_164,2.897,S_181,1.593
2809,-37.81522369,144.8648224,13 Stooke Street,YARRAVILLE,8500000,house,2009,2,1,2,SC_033,2.037,20022,1.786,22,0,hospital_056,3.095,S_149,2.418
54710,-37.823483,145.032492,75 Manningtree Road,HAWTHORN,8775000,house,2011,3,1,2,SC_083,0.432,19904,0.413,20,0,hospital_127,0.255,S_208,0.471
84835,-37.879191,144.991007,2A Robert Street,ELWOOD,5900000,house,2012,3,2,2,SC_015,1.478,19955,0.521,15,0,hospital_009,1.49,S_133,0.711
90028,-37.9582284,145.0452974,14 Munro Avenue,CHELTENHAM,11200000,house,2012,3,2,2,SC_079,1.078,19872,1.132,40,0,hospital_082,1.04,S_023,0.934
72381,-37.851412,145.26739,4 Warrien Court,BAYSWATER,5180000,house,2016,4,1,3,SC_032,5.479,19870,1.08,50,0,hospital_002,0.457,S_139,0.941
86434,-37.900134,144.996907,26 Downes Avenue,BRIGHTON,24000000,house,2011,4,2,2,SC_015,3.779,19952,0.728,20,0,hospital_198,1.334,S_151,0.988
33781,-37.70866,145.031647,13 Ramleh Road,RESERVOIR,5250000,house,2012,3,2,2,SC_047,3.329,20009,1.951,33,0,hospital_025,1.373,S_225,1.827
1995,-37.780967,144.868509,21 Dunedin Street,MAIDSTONE,1360000,house,2013,3,1,1,SC_043,1.541,20022,2.093,22,0,hospital_056,2.063,S_149,1.541
75152,-37.892923,145.061999,40 Ames Avenue,CARNEGIE,15950000,house,2015,4,2,2,SC_041,0.956,19919,0.561,30,0,hospital_108,2.876,S_015,0.762
85557,-37.888303,145.01432,349 Kooyong Road,ELSTERNWICK,17600000,house,2010,3,1,2,SC_023,2.847,19954,1.244,17,0,hospital_081,0.446,S_193,0.745
93496,-37.989222,145.079664,55 Bethell Avenue,PARKDALE,10660000,house,2012,3,2,2,SC_003,2.176,19864,0.52,41,0,hospital_001,0.619,S_003,0.613
12178,-37.711231,144.768544,11 Mankina Circuit,DELAHEY,4032000,house,2015,3,2,2,SC_048,3.394,20000,1.229,39,0,hospital_057,6.814,S_094,1.202
93448,-38.00733566,145.1017609,5 Moloney Close,MORDIALLOC,6160000,house,2009,4,2,2,SC_003,4.181,19863,1.24,44,0,hospital_001,3.146,S_119,1.325
75679,-37.910808,145.099523,1249 North Road,OAKLEIGH,12112000,house,2014,2,1,2,SC_087,2.948,19916,0.251,36,0,hospital_166,1.405,S_010,1.894
66649,-37.774757,145.312129,7 Krowera Street,MOOROOLBARK,4400000,house,2010,3,2,2,SC_084,1.855,19877,1.113,54,0,hospital_113,4.014,S_168,1.838
48921,-37.808167,145.092826,102 Winmalee Road,BALWYN,12690000,house,2011,4,3,2,SC_020,2.814,19896,1.679,34,0,hospital_117,2.111,S_136,0.896
7537,-37.73915482,144.8271332,5 Orbital Drive,KEALBA,3600000,house,2008,4,2,2,SC_107,2.182,20002,2.467,33,0,hospital_005,2.596,S_078,2.328
68968,-37.862288,145.039582,24A Horace Street,MALVERN,19530000,house,2010,4,3,3,SC_023,1.575,19944,1.006,20,0,hospital_183,0.153,S_235,0.966
36666,-37.639746,145.034538,1 Worsley Court,EPPING,6188000,house,2016,4,2,2,SC_062,4.684,20005,1.46,43,0,hospital_053,2.065,S_196,2.172
75355,-37.89561081,145.0525208,60 Lyons Street,CARNEGIE,11440000,house,2009,4,2,2,SC_041,1.324,19942,1.117,32,0,hospital_126,2.964,S_015,0.946
12226,-37.713557,144.78039,12 Oarsome Drive,DELAHEY,5135000,house,2011,3,2,2,SC_107,2.828,20000,1.488,39,0,hospital_057,6.026,S_094,1.305
34261,-37.714794,145.005312,20 Ralph Street,RESERVOIR,11700000,house,2016,3,1,1,SC_103,2.775,20010,0.276,32,0,hospital_139,0.709,S_225,2.349
64250,-37.786514,145.284387,31 Norman Road,CROYDON,4680000,house,2013,3,1,2,SC_022,1.404,19878,1.048,51,0,hospital_164,3.465,S_181,1.097
68231,-37.84896088,145.0263367,9 Stonnington Place,TOORAK,42400000,house,2008,4,2,2,SC_038,1.844,19945,1.037,24,0,hospital_132,1.638,S_235,1.27
31619,-37.731842,144.990351,1/1 Dunstan Street,PRESTON,5900000,house,2013,3,1,1,SC_103,1.336,20011,1.159,29,0,hospital_139,1.728,S_030,0.648
92460,-37.983028,145.08238,87 Lower Dandenong Road,MENTONE,10960000,house,2010,4,2,2,SC_003,1.448,19864,1.238,41,0,hospital_001,1.19,S_003,0.472
13950,-37.7526,144.912717,18 Edward Street,ESSENDON,11245000,house,2012,4,2,2,SC_082,2.165,20037,0.488,21,0,hospital_184,1.329,S_197,0.92
26615,-37.59358,144.926546,35 Cimberwood Dr,CRAIGIEBURN,3519000,house,2010,4,3,2,SC_016,1.124,40221,1.741,46,0,hospital_104,6.381,S_178,0.659
69602,-37.862264,145.1100198,16 Eildon Road,ASHWOOD,14161000,house,2013,3,1,3,SC_042,2.338,19840,1.275,28,0,hospital_089,1.495,S_112,1.503
87981,-37.943108,145.020352,89 David Street,HAMPTON,10835000,house,2013,3,1,2,SC_046,1.63,19948,1.602,29,0,hospital_036,1.462,S_214,0.301
55957,-37.838864,145.085897,8 Lynden Street,CAMBERWELL,14790000,house,2012,3,1,2,SC_099,2.935,19850,1.073,32,0,hospital_089,2.19,S_160,1.378
59572,-37.814108,145.185706,2 Page Street,MITCHAM,5072000,house,2010,4,2,3,SC_088,0.792,19900,0.702,40,0,hospital_010,0.843,S_202,1.373
31696,-37.73966,145.017053,103 Murray Road (corner Sapphire St),PRESTON,7320000,house,2011,4,1,2,SC_047,1.174,20012,1.459,27,0,hospital_035,2.712,S_084,1.282
25257,-37.594442,144.924325,12 Valonia Court,CRAIGIEBURN,2205000,house,2010,3,2,2,SC_016,0.942,40221,1.866,46,0,hospital_104,6.272,S_178,0.855
59469,-37.8287763,145.1887763,16 Rosstrevor Crescent,MITCHAM,13095000,house,2011,4,2,2,SC_088,1.327,19900,1.231,40,0,hospital_010,2.093,S_202,1.23
92485,-37.993388,145.074048,1 Alameda Street,PARKDALE,12880000,house,2014,3,2,2,SC_003,2.806,19864,0.203,41,0,hospital_001,0.326,S_003,1.072
2295,-37.779085,144.88068,45 Lindenow Street,MAIDSTONE,7980000,house,2010,2,2,2,SC_052,0.834,20027,2.534,0,1,hospital_056,1.637,S_049,0.998
68701,-37.848809,145.03986,1 Beaven Avenue,MALVERN,18370000,house,2010,3,2,3,SC_038,2.926,19911,0.176,15,0,hospital_168,1.363,S_235,1.59
41905,-37.744016,145.074957,23-25 Coorie Crescent,ROSANNA,6660000,house,2012,3,1,2,SC_017,1.425,19936,0.786,28,0,hospital_066,1.706,S_100,1.781
73701,-37.85564804,145.2995148,42 McDonald Crescent,BORONIA,10570000,house,2008,3,2,2,SC_049,4.382,19869,1.433,53,0,hospital_049,1.667,S_146,1.382
79859,-37.98612595,145.1710968,2 Nattia Court,KEYSBOROUGH,18590000,house,2008,3,1,2,SC_057,0.76,19889,2.001,51,0,hospital_096,0.835,S_079,0.782
25588,-37.608879,144.912649,16 Pymble Gardens,CRAIGIEBURN,5988000,house,2015,4,2,2,SC_016,1.785,40221,2.817,46,0,hospital_104,4.705,S_178,2.508
5686,-37.788586,144.858949,29 Hampden Street,BRAYBROOK,6120000,house,2016,3,1,1,SC_043,0.608,20022,1.238,22,0,hospital_056,2.45,S_149,0.608
54401,-37.816589,145.025138,30 Smart Street,HAWTHORN,12510000,house,2010,3,2,1,SC_083,1.015,19905,0.615,19,0,hospital_086,0.593,S_208,0.982
54948,-37.840055,145.064186,12 Athelstan Road,CAMBERWELL,27600000,house,2015,3,2,1,SC_099,1.831,19851,0.722,30,0,hospital_168,1.046,S_160,0.822
90608,-37.961276,145.04747,37 Paul Street,CHELTENHAM,8690000,house,2010,2,1,1,SC_079,1.464,19866,0.863,37,0,hospital_082,0.824,S_023,0.76
7530,-37.742836,144.765451,5 Delamare Drive,ALBANVALE,4760000,house,2010,4,2,2,SC_048,2.377,20001,2.912,36,0,hospital_057,4.743,S_070,1.134
88725,-37.954962,145.045486,27 Princess Avenue,HIGHETT,8000000,house,2010,3,1,2,SC_079,0.756,19872,0.794,40,0,hospital_082,1.167,S_069,0.756
51298,-37.776591,145.117885,346 Manningham Road,DONCASTER,20400000,house,2014,4,2,2,SC_091,1.369,20042,4.756,30,0,hospital_194,0.432,S_046,0.48
7461,-37.750454,144.76795,4 Concord Circuit,ALBANVALE,3040000,house,2015,3,1,1,SC_048,3.034,20002,2.893,33,0,hospital_057,4.247,S_070,0.497
